BuildingAddress,Country,State,ZIP,City,Neighborhood,Status2010,Status2011,Status2012,Status2013,Latitude,Longitude
1101 VAN NESS AVE,USA,CA,94109,San Francisco,Western Addition,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.78598449,-122.4223067
111 ELLIS ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,NA,DidNotComply,DidNotComply,37.78533734,-122.4081381
130 GEARY ST,USA,CA,94108,San Francisco,Fidi,DidNotComply,Complied,DidNotComply,DidNotComply,37.7879892,-122.4054658
111 POWELL ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,DidNotComply,DidNotComply,DidNotComply,37.78583491,-122.4077057
111 STEVENSON ST,USA,CA,94105,San Francisco,Fidi,NA,DidNotComply,DidNotComply,DidNotComply,37.78835686,-122.4011113
111 SUTTER ST,USA,CA,94104,San Francisco,Fidi,Complied,Complied,Complied,DidNotComply,37.78981879,-122.4025495
111 TOWNSEND ST,USA,CA,94107,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.78009732,-122.3906258
1111 17TH ST,USA,CA,94107,San Francisco,Potrero Hill,Complied,Complied,Complied,Complied,37.76493141,-122.3952644
1111 MARKET ST,USA,CA,94103,San Francisco,South of Market,NA,NA,Complied,Complied,37.77994027,-122.4125031
1115 MARKET ST,USA,CA,94103,San Francisco,South of Market,NA,NA,Complied,DidNotComply,37.77986892,-122.412595
112 7TH ST,USA,CA,94103,San Francisco,South of Market,NA,DidNotComply,DidNotComply,DidNotComply,37.77891854,-122.4109042
1126 HOWARD ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.77765931,-122.4103956
1127 MARKET ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.77964163,-122.4128816
1128 MISSION ST,USA,CA,94103,San Francisco,South of Market,NA,DidNotComply,DidNotComply,DidNotComply,37.77891129,-122.4119317
1130 POST ST,USA,CA,94109,San Francisco,Downtown/Civic Center,NA,DidNotComply,DidNotComply,DidNotComply,37.78701285,-122.4204404
1137 FOLSOM ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.77589054,-122.4085439
1140 FOLSOM ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.77624489,-122.4089442
1141 MARKET ST,USA,CA,94103,San Francisco,South of Market,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.77944346,-122.4131347
1144 HARRISON ST,USA,CA,94103,San Francisco,South of Market,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.77525211,-122.4081627
200 BUSH ST,USA,CA,94104,San Francisco,Fidi,Complied,Complied,DidNotComply,DidNotComply,37.79121013,-122.4007769
115 WISCONSIN ST,USA,CA,94107,San Francisco,Potrero Hill,NA,NA,Complied,DidNotComply,37.76615409,-122.3994252
1155 INDIANA ST,USA,CA,94107,San Francisco,Potrero Hill,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.75575049,-122.3903482
116 NATOMA ST,USA,CA,94105,San Francisco,Fidi,NA,NA,DidNotComply,DidNotComply,37.78708288,-122.3994087
1160 Mission St,USA,CA,94103,San Francisco,South of Market,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.77839229,-122.4122319
1161 MISSION ST,USA,CA,94103,San Francisco,South of Market,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.77808292,-122.4121698
1167 MISSION ST,USA,CA,94103,San Francisco,South of Market,NA,DidNotComply,DidNotComply,DidNotComply,37.77785089,-122.4123831
1167-1199 Sutter St,USA,CA,94109,San Francisco,Downtown/Civic Center,NA,Complied,Complied,Complied,37.78762188,-122.4198545
117 POST ST,USA,CA,94108,San Francisco,Fidi,NA,NA,DidNotComply,DidNotComply,37.7886107,-122.404057
1173 HOWARD ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.77659615,-122.4106883
